date,name,state,step,variant,bs,anch,lr,vkl,ep,lam,acc,tpf,tag
2026-07-13,qwen3-1.7-baseline,failed,7422,baseline,32,256,0.0002,0,,1.0,1.9166666269302368,1.2799999713897705,0.2460913211107254
2026-07-14,qwen3-1.7-baseline,finished,9380,baseline,32,256,0.0002,0,,1.0,1.5,1.1034482717514038,0.25597259402275085
2026-07-14,qwen3-1.7-baseline,failed,6030,baseline,32,256,0.0002,0,,1.0,1.692307710647583,1.185185194015503,0.2601446211338043
2026-07-14,qwen3-1.7-baseline,crashed,17828,baseline,32,256,0.0002,0,,1.0,1.6978470087051392,1.2610359191894531,0.2164798527956009
2026-07-15,qwen3-1.7-baseline,failed,8487,baseline,32,256,0.0002,0,,1.0,1.881687879562378,1.2485610246658323,0.24606864154338837
2026-07-16,qwen3-1.7-baseline,finished,18159,baseline,32,256,0.0002,0,,1.0,1.533961296081543,1.1861019134521484,0.2519644498825073
2026-07-17,qwen3-1.7-b-block8,finished,9506,baseline,8,256,0.0002,0,,1.0,1.5917742252349854,1.2049006223678589,0.5362898111343384
2026-07-18,qwen3-1.7-b-block8,finished,9506,baseline,8,256,0.0002,0,,1.0,1.4930779933929443,1.1557996273040771,0.5546472072601318
2026-07-20,qwen3-1.7-b-block8,finished,9506,baseline,8,256,0.0002,0,,1.0,2.0019476413726807,1.3871541023254397,0.5521261692047119
2026-07-20,f-lr10-s42-1k,finished,209,flowdraft,8,1,0.0001,0,1.0,1.0,0.0,0.5079365079365079,0.6813088059425354
2026-07-20,f-arkl01-s42-1k,finished,209,flowdraft,8,1,0.0001,0,1.0,1.0,0.03333333333333333,0.5245901639344263,0.10561574250459672
2026-07-20,qwen3-1.7-flowdraft-blockwise-k8,finished,588,flowdraft_block_wise,8,1,0.0001,0,1.0,1.0,0.18207556935817804,0.5985739292320751,0.57470703125
2026-07-20,b8-lr10-s42-1k,finished,209,flowdraft_block_wise,8,1,0.0001,0,1.0,1.0,0.41200828157349895,0.7125185551707076,0.109375
2026-07-20,b16-lr10-s42-1k,finished,209,flowdraft_block_wise,16,1,0.0001,0,1.0,1.0,0.34782608695652173,0.6808510638297872,0.1484375
2026-07-23,b8-lr20-s42-full2ep,crashed,789,flowdraft_block_wise,8,1,0.0002,0,1.0,1.0,0.022368400277883036,0.5190980775713707,0.3828125
2026-07-26,b8-vkl-a32-s42-screen,crashed,5414,flowdraft_block_wise,8,64,0.0001,1,0.5,0.25,2.007846233627484,1.4093333636881986,
2026-07-27,b8-vkl-a32-s42-screen,crashed,11037,flowdraft_block_wise,8,32,0.0001,1,0.25,0.1,2.0698858433233434,1.4407595376718243,0.5364815592765808
